Date,High,Low,Last,Bid,Ask,Volume,VWAP
2020-06-08,9813.67,9645.0,9704.08,9696.13,9703.99,5261.25019404,9724.82
2020-06-07,9829.31,9356.0,9763.35,9763.41,9768.2,6591.84077823,9586.97
2020-06-06,9744.39,9525.76,9643.15,9643.15,9649.17,4521.89051414,9622.71
2020-06-05,9866.6,9592.74,9674.8,9674.8,9679.57,6955.88799524,9736.04
2020-06-04,9888.0,9430.0,9824.17,9819.59,9827.07,8881.0136577,9704.95
2020-06-03,9646.0,9380.99,9611.27,9607.39,9612.33,6824.51705817,9544.74
2020-06-02,10429.26,9135.68,9498.0,9494.66,9502.09,28982.73122967,9875.03
2020-06-01,9769.4,9373.96,9756.44,9755.42,9755.9,6229.92881136,9567.18
2020-05-31,9744.19,9409.94,9456.08,9450.51,9456.06,5629.6834944,9559.51
2020-05-30,9758.27,9326.28,9729.1,9727.33,9733.1,6632.59565543,9525.54
2020-05-29,9625.01,9330.0,9424.95,9424.95,9429.95,7842.21445367,9467.33
2020-05-28,9560.49,9089.58,9488.74,9488.74,9489.48,10990.77863593,9365.54
2020-05-27,9230.21,8810.9,9104.07,9096.23,9103.61,6514.82675078,9086.07
2020-05-26,9012.0,8690.0,8829.3,8830.27,8836.01,6006.29874431,8848.74
2020-05-25,9047.7,8630.0,8906.3,8900.36,8908.12,10336.51253844,8798.79
2020-05-24,9310.91,8842.43,9037.76,9038.4,9040.44,7432.92598687,9056.77
2020-05-23,9316.12,9084.83,9233.15,9226.3,9233.41,3446.58509924,9192.25
2020-05-22,9272.97,8924.91,9198.09,9192.8,9199.47,7573.3962583,9125.91
2020-05-21,9573.29,8800.0,9114.59,9114.77,9119.79,16836.30858814,9175.42
2020-05-20,9843.87,9100.0,9516.31,9514.95,9520.76,12307.32518741,9585.26
2020-05-19,9903.89,9455.05,9758.78,9760.1,9761.1,12042.37914054,9678.35
2020-05-18,9966.12,9451.2,9711.14,9711.14,9718.26,12339.38671884,9732.59
2020-05-17,9894.88,9326.53,9683.97,9677.95,9685.0,9459.9575314,9698.98
2020-05-16,9590.0,9216.08,9418.82,9413.29,9418.83,6373.95269504,9407.66
2020-05-15,9856.18,9112.0,9365.69,9362.66,9369.25,17423.81365386,9504.0
2020-05-14,9945.34,9254.85,9758.29,9753.92,9763.39,19795.90821362,9652.13
2020-05-13,9418.46,8787.64,9324.62,9323.53,9332.67,12690.40388191,9083.97
2020-05-12,8984.87,8501.87,8820.11,8817.66,8820.11,14418.18418946,8778.14
2020-05-11,9182.97,8181.0,8600.81,8600.83,8608.52,35170.92043762,8684.35
2020-05-10,9635.55,8109.0,8784.28,8782.02,8784.28,30782.56743669,8693.97
2020-05-09,9933.65,9519.47,9601.81,9592.97,9601.81,12166.14468034,9731.88
2020-05-08,10074.0,9725.0,9886.48,9886.48,9896.07,19628.76530637,9927.17
2020-05-07,9972.03,9030.03,9904.86,9904.6,9909.83,24701.80024716,9597.84
2020-05-06,9400.0,8921.03,9382.06,9378.95,9383.63,13833.31124813,9202.12
2020-05-05,9120.0,8760.1,8984.18,8969.64,8980.76,10058.95186719,8926.7
2020-05-04,8974.34,8528.42,8887.46,8880.42,8887.36,9638.63974465,8766.58
